Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
perforated eardrum (perforated tympanic membrane),"left, right, bilateral","perforated eardrum |
perforated tympanic membrane",perforated eardrum,perforated tympanic membrane,,,,,,,,,,,"perforated eardrum (perforated tympanic membrane), right","perforated eardrum (perforated tympanic membrane), left","perforated eardrum (perforated tympanic membrane), bilateral",,,,8969,Ear Disease and Other Sense Organs,6211,perforated eardrum,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,
persistent depressive disorder (dysthymic disorder),,"persistent depressive disorder |
dysthymic disorder |
dysthymia",persistent depressive disorder,dysthymic disorder,dysthymia,,,,,,,,,,persistent depressive disorder (dysthymic disorder),,,,,,8989,Mental Disorders,9433,dysthymic disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,v1.2,,,
personality disorder,,,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
pharyngeal cancer (throat cancer),,"pharyngeal cancer |
throat cancer",pharyngeal cancer,throat cancer,,,,,,,,,,,pharyngeal cancer (throat cancer),,,,,,1230,Cancer - Respiratory,Multiple,Oral and Respiratory Cancer DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,"per DBQ index, required DBQ could be DENTAL Oral and Dental Conditions. But DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx, more specifically calls out the pharynx"
"phobia (agoraphobia, claustrophobia, or other phobia)",,"acrophobia |
aerophobia |
agoraphobia |
claustrophobia |
cleithrophobia |
enochlophobia |
phonophobia |
somniphobia |
taphophobia |
thalassophobia |
trypophobia |
vehophobia",,,,,,,,,,,,,"phobia (agoraphobia, claustrophobia, or other phobia)",,,,,,8989,Mental Disorders,9412,panic disorder and/or agoraphobia,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,v1.3,v1.3,,,"v1.3 Term changed from ""agoraphobia"" to phobia (agoraphobia, claustrophobia, or other phobia)"
phobias,,,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
plague,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
plantar fasciitis,"left, right, bilateral",,,,,,,,,,,,,,"plantar fasciitis, right","plantar fasciitis, left","plantar fasciitis, bilateral",,,,8994,Musculoskeletal - Foot,5269,plantar fasciitis,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
plantar warts (foot warts),"left, right, bilateral","plantar warts |
foot warts",plantar warts,foot warts,,,,,,,,,,,"plantar warts (foot warts), right","plantar warts (foot warts), left","plantar warts (foot warts), bilateral",,,,9016,Skin,7820,infections of the skin,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
pleurisy (pleuritis),,"pleurisy |
pleuritis",pleurisy,pleuritis,,,,pleurisy,,,,,,,pleurisy (pleuritis) ,,,,,,9012,Respiratory,Multiple,Pleurisy Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,
pneumococcal arthritis,,,,,,,,,,,,,,,pneumococcal arthritis,,,,,,8992,Musculoskeletal - Arthritis,5005,pneumococcal arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
pneumonia,,,,,,,,,,,,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
polycystic ovary syndrome (PCOS),,"polycystic ovary syndrome |
PCOS",polycystic ovary syndrome,PCOS,,,,,,,,,,,polycystic ovary syndrome (PCOS),,,,,,8978,Gynecological,7615,disease or injury of the ovary,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in ankle,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in ankle, right","post-traumatic arthritis in ankle, left","post-traumatic arthritis in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in elbow,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in elbow, right","post-traumatic arthritis in elbow, left","post-traumatic arthritis in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in foot,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in foot, right","post-traumatic arthritis in foot, left","post-traumatic arthritis in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in hand or fingers,"left, right, bilateral","post-traumatic arthritis in hand |
post-traumatic arthritis in fingers",post-traumatic arthritis in hand,post-traumatic arthritis in fingers,,,,,,,,,,,"post-traumatic arthritis in hand or fingers, right","post-traumatic arthritis in hand or fingers, left","post-traumatic arthritis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in hip,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in hip, right","post-traumatic arthritis in hip, left","post-traumatic arthritis in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in knee,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in knee, right","post-traumatic arthritis in knee, left","post-traumatic arthritis in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in shoulder,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in shoulder, right","post-traumatic arthritis in shoulder, left","post-traumatic arthritis in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
post-traumatic arthritis in wrist,"left, right, bilateral",,,,,,,,,,,,,,"post-traumatic arthritis in wrist, right","post-traumatic arthritis in wrist, left","post-traumatic arthritis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
poststreptococcal arthritis,,,,,,,,,,,,,,,poststreptococcal arthritis,,,,,,8992,Musculoskeletal - Arthritis,5008,poststreptococcal arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
premature ventricular contractions,,,,,,,,,,,,,,,premature ventricular contractions,,,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
proctitis (inflammation of rectum),,"proctitis |
inflammation of rectum",proctitis,inflammation of rectum,,,,,,,,,,,proctitis (inflammation of rectum),,,,,,8968,Digestive,7337,ani pruritus (anal itching),DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,
prostate cancer,,,,,,,,cancer - prostate,,,,,,,prostate cancer,,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Male Reproductive Organ,yes,Active,Active,v1.0,,,,,,
"prostate gland (injuries, infections, hypertrophy)",,,,,,,,,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
prostatitis (inflammation of prostate),,"prostatitis |
inflammation of prostate",prostatitis,inflammation of prostate,,,,,,,,,,,prostatitis (inflammation of prostate),,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",,"pseudofolliculitis barbae |
razor bumps |
shave bumps |
ingrown hairs",pseudofolliculitis barbae,razor bumps,shave bumps,ingrown hairs,,,,,,,,,"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",,,,,,9016,Skin,7820,infections of the skin,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
psoriasis,,,,,,,,,,,,,,,psoriasis,,,,,,9016,Skin,7816,psoriasis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
psychosis,,,,,,,,psychoses,psychotic depressive reaction,psychotic reaction,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
PTSD (post-traumatic stress disorder),,"post-traumatic stress disorder |
PTSD |
posttraumatic stress disorder",post-traumatic stress disorder,PTSD,Posttraumatic stress disorder,,,"PTSD (post-traumatic stress disorder), combat-related","PTSD (post-traumatic stress disorder), non-combat-related",Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,Post Traumatic Stress Disorder (PTSD) Personal Trauma - Mental Disorders,PTSD personal trauma,,,PTSD (post-traumatic stress disorder),,,,,,8989,Mental Disorders,9411,post-traumatic stress disorder,DBQ PSYCH PTSD Initial,no,Active,Active,v1.0,,v1.2,v1.3,Autosuggestion updated to remove distinction between combat/non-combat in v1.2,Contention Text Lookup v0.5,v1.3 Synonym added 9/15/2025
pulmonary alveolar proteinosis (PAP),,"pulmonary alveolar proteinosis |
PAP","pulmonary alveolar proteinosis
",PAP,,,,,,,,,,,pulmonary alveolar proteinosis (PAP),,,,,,9012,Respiratory,6827,Pulmonary alveolar proteinosis,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.3,,,,,,
pulmonary fibrosis,,"pleural effusion |
pleural fibrosis |
pleural effusion or fibrosis",pleural effusion,pleural fibrosis,pleural effusion or fibrosis,,,"fibrosis, interstitial pulmonary",,,,,,,pulmonary fibrosis,,,,,,9012,Respiratory,Multiple,ILD or Pulmonary Fibrosis Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,v1.3,,,
pulmonary granuloma (lung nodule),,"pulmonary granuloma |
lung nodule",pulmonary granuloma,lung nodule,,,,,,,,,,,pulmonary granuloma (lung nodule)  ,,,,,,8965,Cyst/Benign Growth - Respiratory,Multiple,Granuloma Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,
radiculopathy lower extremities,"left, right, bilateral",,,,,,,,,,,,,,"radiculopathy, right lower extremities","radiculopathy, left lower extremities","radiculopathy, bilateral lower extremities",,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),Multiple,Peripheral Nerves DC Group,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,"Per DBQ Index, use NEURO Peripheral nerves conditions DBQ for CFI"
radiculopathy upper extremities,"left, right, bilateral",,,,,,,,,,,,,,"radiculopathy, right upper extremities","radiculopathy, left upper extremities","radiculopathy, bilateral upper extremities",,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),Multiple,Peripheral Nerves DC Group,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,"Per DBQ Index, use NEURO Peripheral nerves conditions DBQ for CFI"
Raynaud's disease,,,,,,,,,,,,,,,Raynaud's disease,,,,,,8979,Heart/Veins/Arteries,7124,Raynaud's disease (primary Raynaud's),DBQ CARDIO Artery & Veins,no,Active,Active,v1.0,,,,,,
rectal bleeding,,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
Respiratory,,,,,,,,Respiratory complaints,non-specific respiratory condition,lung condition,signs or symptoms involving respiratory system,sinus condition,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
restless leg syndrome (RLS),,"restless leg syndrome |
RLS",,,,,,,,,,,,,restless leg syndrome (RLS),,,,,,9006,Neurological - Cranial/Peripheral Nerves,Multiple,No Match,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.3,,,,,,
retinitis,,,,,,,,retina (detachment of),"retina (scars, atrophy, or irregularities of)",,,,,,,,,,,,8974,Eye (Vision),,,,,Inactive,Active,v0.1,v1.0,,,,,
rheumatic fever,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
rheumatoid arthritis,,,,,,,,rheumatism,,,,,,,rheumatoid arthritis,,,,,,8992,Musculoskeletal - Arthritis,5002,rheumatoid arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
"rhinitis, chronic",,"allergic rhinitis |
non-allergic rhinitis |
allergic or vasomotor rhinitis |
vasomotor rhinitis |
bacterial rhinitis",allergic rhinitis,non-allergic rhinitis,allergic or vasomotor rhinitis,vasomotor rhinitis,bacterial rhinitis,rhinitis,,,,,,,"rhinitis, chronic",,,,,,9012,Respiratory,Multiple,Rhinitis DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,v1.3,v1.3,v1.3,,"v1.3 Changed from ""chronic rhinitis, allergic or non-allergic"" to ""rhinitis, chronic"" on 2/2/2026"
rib fracture,"left, right, bilateral",,,,,,,,,,,,,,"rib fracture, right","rib fracture, left","rib fracture, bilateral",,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,Contention Text Lookup v0.5,
rib removal,,,,,,,,,,,,,,,rib removal,,,,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,,
ringworm (dermatophytosis),,"ringworm |
dermatophytosis",ringworm,dermatophytosis,,,,,,,,,,,ringworm (dermatophytosis),,,,,,9016,Skin,7813,dermatophytosis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
rotator cuff tear,"left, right, bilateral",,,,,,,,,,,,,,"rotator cuff tear, right","rotator cuff tear, left","rotator cuff tear, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
salivary gland cancer,,,,,,,,,,,,,,,salivary gland cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,
salpingitis,,,,,,,,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
sarcoidosis,,,,,,,,Boeck's disease,,,,,,,sarcoidosis,,,,,,9012,Respiratory,6846,sarcoidosis,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,
"scars, extremities or trunk",,,,,,,,Scars (Extremities and Trunk),,,,,,,"scars, extremities or trunk",,,,,,9013,Scars (Extremities and Trunk),Multiple,Scars (Extremities and Trunk) DC group,DBQ DERM Scars Disfigurement,no,Active,Active,v1.0,,,,,,
"scars, head, face or neck",,,,,,,,"Scars (Head, Face, Or Neck)",,,,,,,"scars, head, face or neck",,,,,,9014,"Scars (Head, Face, Or Neck)",Multiple,"Scars (Head, Face and Neck) DC Group",DBQ DERM Scars Disfigurement,no,Active,Active,v1.0,,,,,,
schistosomiasis,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
schizoaffective disorder,,,,,,,,,,,,,,,schizoaffective disorder,,,,,,8989,Mental Disorders,9211,Schizoaffective Disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
schizophrenia,,,,,,,,,,,,,,,schizophrenia,,,,,,8989,Mental Disorders,9201,schizophrenia,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
sciatica (sciatic nerve radiculopathy),"left, right, bilateral","sciatica |
sciatic nerve radiculopathy |
diabetic peripheral neuropathy lower extremities sciatic |
leg sciatica |
lower extremity radiculopathy sciatic |
lower extremity radiculopathy sciatic nerve |
lower extremity radiculopathy sciatic nerve |
lower extremity radiculopathy sciatica |
lower extremity radiculopathysciatic |
lower extremity sciatica |
lower peripheral neuropathy sciatic |
lower radiculopathy extremity sciatic |
lower radiculopathy sciatic |
lower sciatic radiculopathy |
nerve sciatica |
neuritis of the sciatic nerve |
neuropathy in the leg sciatic |
paralysis of sciatic nerve |
radiculopathy lower extremities sciatic |
radiculopathy lower extremities sciatic nerve |
radiculopathy lower extremity sciatic |
radiculopathy lower extremity sciatic nerve |
radiculopathy lower extremity sciatic nerve 1 |
radiculopathy of the sciatic nerve lower extremities |
radiculopathy sciatica lower extremities |
sciatic |
sciatic lower extremity |
sciatic nerve |
sciatic nerve damage |
sciatic nerve issues |
sciatic nerve leg |
sciatic nerve paralysis |
sciatic radiculopathy lower extremity |
sciatica down both legs |
sciatica leg |
sciatica legs |
sciatica lower extremity |
sciatica nerve |
sciatica side |
sided sciatica",,,,,,,,,,,,,"sciatica (sciatic nerve radiculopathy), left","sciatica (sciatic nerve radiculopathy), right","sciatica (sciatic nerve radiculopathy), bilateral",,,,9006,Neurological - Cranial/Peripheral Nerves,Multiple,Neurological: Diseases of the Peripheral Nerves,DBQ NEURO Peripheral Nerves,no,Active,Active,v1.3,,,,,,
scoliosis,,,,,,,,,,,,,,,scoliosis,,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),Multiple,musculoskeletal: spine group,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.3,,,,,,
Service Connected Death,,,,,,,,,,,,,,,,,,,,,9015,Service Connected Death,,,,,Inactive,Active,v0.1,v1.0,,,,,
shin splints,"left, right, bilateral",,,,,,,,,,,,,,"shin splints, right","shin splints, left","shin splints, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
shoulder dislocation,"left, right, bilateral",,,,,,,,,,,,,,"shoulder dislocation, right","shoulder dislocation, left","shoulder dislocation, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
shoulder impingement syndrome,"left, right, bilateral",,,,,,,,,,,,,,"shoulder impingement syndrome, right","shoulder impingement syndrome, left","shoulder impingement syndrome, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
"shoulder pain or stiffness, diagnosis unknown","left, right, bilateral","shoulder pain |
shoulder stiffness",,,,,,,,,,,,,"shoulder pain or stiffness, diagnosis unknown, left","shoulder pain or stiffness, diagnosis unknown, right","shoulder pain or stiffness, diagnosis unknown, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.3,,,,,,
shoulder replacement (shoulder arthroplasty),"left, right, bilateral","shoulder replacement |
shoulder arthroplasty |
shoulder replacement (prosthesis)",shoulder replacement,shoulder arthroplasty,shoulder replacement (prosthesis),,,shoulder replacement,,,,,,,"shoulder replacement (shoulder arthroplasty), right","shoulder replacement (shoulder arthroplasty), left","shoulder replacement (shoulder arthroplasty), bilateral",,,,9002,Musculoskeletal - Shoulder,5051,shoulder replacement,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,v1.2,,,
shoulder sprain,,,,,,,,,,,,,,,,,,,,,9002,Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,v1.0,,,,,
shoulder strain,"left, right, bilateral",,,,,,,,,,,,,,"shoulder strain, right","shoulder strain, left","shoulder strain, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
sickle cell anemia,,,,,,,,,,,,,,,sickle cell anemia,,,,,,8981,Hemic and Lymphatic,7714,sickle cell anemia,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,
Skin,,,,,,,,,,,,,,,,,,,,,9016,Skin,,,,,Inactive,Active,v0.1,v1.0,,,,,
"Skin cancer (other than melanoma), extremities or trunk",,"skin cancer, extremities or trunk |
basal cell carcinoma, extremities or trunk |
squamous cell carcinoma, extremities or trunk |
skin carcinoma, extremities or trunk","skin cancer, extremities or trunk","basal cell carcinoma, extremities or trunk","squamous cell carcinoma, extremities or trunk","skin carcinoma, extremities or trunk",,,,,,,,,"Skin cancer (other than melanoma), extremities or trunk",,,,,,1250,Skin,7818,Malignant skin neoplasms (other than malignant melanoma),DBQ DERM Skin Diseases,yes,Active,Active,v1.3,,,,,,
"Skin cancer (other than melanoma), head or neck",,"skin cancer, head or neck |
basal cell carcinoma, head or neck |
squamous cell carcinoma, head or neck |
skin carcinoma, head or neck","skin cancer, head or neck","basal cell carcinoma, head or neck","squamous cell carcinoma, head or neck","skin carcinoma, head or neck",,,,,,,,,"Skin cancer (other than melanoma), head or neck",,,,,,1250,Skin,7818,Malignant skin neoplasms (other than malignant melanoma),DBQ DERM Skin Diseases,yes,Active,Active,v1.3,,,,,,
SLAP tear (superior labral anterior to posterior tear),"left, right, bilateral","SLAP tear |
superior labral anterior to posterior tear",SLAP tear,superior labral anterior to posterior tear,,,,,,,,,,,"SLAP tear (superior labral anterior to posterior tear), right","SLAP tear (superior labral anterior to posterior), left","SLAP tear (superior labral anterior to posterior tear), bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
sleep apnea,,"sleep apnea ayndromes |
OSA |
snoring",sleep apnea ayndromes,OSA,snoring,,,,,,,,,,sleep apnea,,,,,,9012,Respiratory,6847,sleep apnea syndromes,DBQ RESP Sleep apnea,no,Active,Active,v1.0,,,v1.2,,,
small intestine cancer,,,,,,,,cancer - small intestine,,,,,,,small intestine cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Intestinal (other than surgical or infectious),yes,Active,Active,v1.1,,,,,,
social anxiety disorder (social phobia),,"social anxiety disorder |
social phobia",social anxiety disorder,social phobia,,,,,,,,,,,social anxiety disorder (social phobia),,,,,,8989,Mental Disorders,9403,social anxiety disorder (social phobia),DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
"soft-tissue sarcoma of muscle, fat, or fibrous connective tissue","head or neck, extremities or trunk","soft-tissue sarcoma of muscle |
soft-tissue sarcoma of fat |
soft-tissue sarcoma of fibrous connective tissue",soft-tissue sarcoma of muscle,soft-tissue sarcoma of fat,soft-tissue sarcoma of fibrous connective tissue,,,,,,,,,,"soft-tissue sarcoma of muscle, fat, or fibrous connective tissue, head or neck","soft-tissue sarcoma of muscle, fat, or fibrous connective tissue, extremities or trunk",,,,,8941,Cancer - Musculoskeletal and Muscle Injuries,5329,"soft tissue sarcoma (of muscle, fat or fibrous connective tissue)",DBQ MUSC Muscle Injuries,"yes, if head or neck",Active,Active,v1.1,,,,,,
somatic symptom disorder (SSD),,"somatic symptom disorder |
SSD",somatic symptom disorder,SSD,,,,,,,,,,,somatic symptom disorder (SSD),,,,,,8989,Mental Disorders,9421,somatization disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
Special Monthly Compensation - Aid and Attendance/Housebound,,,,,,,,,,,,,,,,,,,,,9017,Special Monthly Compensation - Aid and Attendance/Housebound,,,,,Inactive,Active,v0.1,v1.0,,,,,
Special Monthly Compensation - Anatomical Loss/Loss Of Use,,,,,,,,,,,,,,,,,,,,,9018,Special Monthly Compensation - Anatomical Loss/Loss Of Use,,,,,Inactive,Active,v0.1,v1.0,,,,,
Spina Bifida,,,,,,,,,,,,,,,,,,,,,9019,Spina Bifida,,,,,Inactive,Active,v0.1,v1.0,,,,,
"spinal arthritis, back",,,,,,,,,,,,,,,"spinal arthritis, back",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5242,degenerative arthritis of the spine,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
"spinal arthritis, neck",,,,,,,,,,,,,,,"spinal arthritis, neck",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5242,degenerative arthritis of the spine,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,
"spondylolisthesis, back",,,,,,,,,,,,,,,"spondylolisthesis, back",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5239,spondylolisthesis or segmental instability,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
"spondylolisthesis, neck",,,,,,,,,,,,,,,"spondylolisthesis, neck",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5239,spondylolisthesis or segmental instability,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,
squamous cell carcinoma of the skin ,"head or neck, extremities or trunk",,,,,,,,,,,,,,"squamous cell carcinoma of the skin, head or neck ","squamous cell carcinoma of the skin, extremities or trunk",,,,,1250,Cancer - Skin,7818,malignant growths of the skin,DBQ DERM Skin Diseases,"yes, if head or neck",Inactive,Active,v1.1,v1.3,,,,,"v1.3 Removed and replaced by ""Skin cancer..."""
stomach cancer,,cancer - duodenum,cancer - duodenum,,,,,cancer - stomach,,,,,,,stomach cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Stomach and Duodenum,yes,Active,Active,v1.0,,,v1.2,,,
stress fracture in leg,"left, right, bilateral",,,,,,,,,,,,,,"stress fracture in leg, right","stress fracture in leg, left","stress fracture in leg, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
syphilis,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
syphilitic arthritis,,,,,,,,,,,,,,,syphilitic arthritis,,,,,,8992,Musculoskeletal - Arthritis,5007,syphilitic arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
syringomyelia,,,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
tachycardia,,,,,,,,,,,,,,,tachycardia,,,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
tailbone (coccyx) removal,,"tailbone removal |
coccyx removal",tailbone removal,coccyx removal,,,,,,,,,,,tailbone (coccyx) removal,,,,,,249482,Musculoskeletal - Bones,5298,removal of coccyx (tailbone),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,,
