Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
hypopharyngeal cancer,,,,,,,,,,,,,,,hypopharyngeal cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,Only listed under oral cancer in DBQ index
hypothyroidism (underactive thyroid),,"hypothyroidism |
underactive thyroid",hypothyroidism,underactive thyroid,,,,hypothyroidism,,,,,,,hypothyroidism (underactive thyroid),,,,,,8973,Endocrine,7903,hypothyroidism,DBQ ENDO Thyroid & Parathyroid,no,Active,Active,v1.0,,,,,,
hysterectomy (removal of uterus),,"hysterectomy |
removal of uterus",hysterectomy,removal of uterus,,,,hysterectomy,uterus (removal of),,,,,,hysterectomy (removal of uterus),,,,,,8978,Gynecological,7618,removal of uterus,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,
hysterectomy and ovariectomy (removal of uterus and both ovaries),,"hysterectomy and ovariectomy |
removal of uterus and both ovaries",hysterectomy and ovariectomy,removal of uterus and both ovaries,,,,,,,,,,,hysterectomy and ovariectomy (removal of uterus and both ovaries),,,,,,8978,Gynecological,7617,removal of uterus and both ovaries,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,
illness anxiety disorder (hypochondria),,"illness anxiety disorder |
hypochondria",illness anxiety disorder,hypochondria,,,,,,,,,,,illness anxiety disorder (hypochondria),,,,,,8989,Mental Disorders,9425,hypochondriasis,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
immersion foot,"left, right, bilateral",trench foot,,,,,,,,,,,,,"immersion foot, right","immersion foot, left","immersion foot, bilateral",,,,8943,Cold Injury Residuals,7122,residuals of cold injury,DBQ Cold injury Residuals,no,Active,Active,v1.0,,,v1.3,,,"v1.3 Added synonym ""trench foot"""
"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
inguinal hernia (hernia in groin),,"inguinal hernia |
hernia in groin",inguinal hernia,hernia in groin,,,,"hernia, inguinal",,,,,,,inguinal hernia (hernia in groin),,,,,,8968,Digestive,7338,"hernia, including femoral, inguinal, umbilical, ventral","DBQ GI Hernias (Including Abdominal, Inguinal, and Femoral Hernias)",no,Active,Active,v1.0,,,,,,
insomnia,,"sleep disturbance |
sleep disturbances |
sleep disorder |
insomnia disorder |
chronic insomnia |
sleep issues |
trouble sleeping |
sleep deprivation",,,,,,,,,,,,,insomnia,,,,,,8989,Mental Disorders,Multiple,Mental disorders group,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
"interstitial lung disease (ILD), pneumonitis, or fibrosis",,"interstitial lung disease |
interstitial lung disease (ILD) |
ILD |
diffuse interstitial fibrosis |
desquamative interstitial pneumonitis |
drug-induced pneumonitis & fibrosis |
radiation-induced pneumonitis & fibrosis |
hypersensitivity pneumonitis",interstitial lung disease,interstitial lung disease (ILD),ILD,diffuse interstitial fibrosis,"desquamative interstitial pneumonitis|
drug-induced pneumonitis & fibrosis|
radiation-induced pneumonitis & fibrosis|
hypersensitivity pneumonitis",,,,,,,,"interstitial lung disease (ILD), pneumonitis, or fibrosis",,,,,,9012,Respiratory,Multiple,ILD Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,v1.3,v1.3,v1.3,,"v1.3 Changed from ""interstitial lung disease (ILD), including asbestosis"" to ""interstitial lung disease (ILD), pneumonitis, or fibrosis"". Asbestosis separated into a different term."
"intervertebral disc syndrome (IVDS), back",,"intervertebral disc syndrome back |
IVDS back",intervertebral disc syndrome back,IVDS back,,,,,,,,,,,"intervertebral disc syndrome (IVDS), back",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5243,intervertebral disc syndrome,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
"intervertebral disc syndrome (IVDS), neck",,"intervertebral disc syndrome neck |
IVDS neck",intervertebral disc syndrome neck,IVDS neck,,,,,,,,,,,"intervertebral disc syndrome (IVDS), neck",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5243,intervertebral disc syndrome,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,
iron deficiency anemia,,,,,,,,,,,,,,,iron deficiency anemia,,,,,,8981,Hemic and Lymphatic,7720,iron deficiency anemia,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,
irritable bowel syndrome (IBS),,"irritable bowel syndrome |
IBS",irritable bowel syndrome,IBS,,,,"colon syndrome, irritable",irritable bowel syndrome,irritable colon,,,,,irritable bowel syndrome (IBS),,,,,,8968,Digestive,7319,irritable bowel syndrome,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v1.0,,,,,,
jaw cancer,,,,,,,,,,,,,,,jaw cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,
kala-azar,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
keratinization skin disorders,,,,,,,,,,,,,,,keratinization skin disorders,,,,,,9016,Skin,7824,diseases of keratinization,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
kidney cancer (renal cancer),"left, right, bilateral","renal cancer |
kidney cancer",renal cancer,kidney cancer ,,,,cancer - kidney,,,,,,,"kidney cancer (renal cancer), right","kidney cancer (renal cancer), left","kidney cancer (renal cancer), bilateral",,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Kidney,yes,Active,Active,v1.0,,v1.1,,Replaced with right/left/bilateral variations,Updated legacy classification,
kidney disease,,,,,,,,kidney failure,renal failure,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
kidney removal (nephrectomy),,"kidney removal |
nephrectomy",kidney removal,nephrectomy,,,,"kidney, removal of",removal of kidneys,,,,,,kidney removal (nephrectomy),,,,,,8975,Genitourinary,7500,removal of kidney,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,
kidney stones (nephrolithiasis),,"kidney stones |
nephrolithiasis",kidney stones,nephrolithiasis,,,,kidney stone(s),,,,,,,kidney stones (nephrolithiasis),,,,,,8975,Genitourinary,7508,nephrolithiasis (kidney stones),DBQ GU Kidney,no,Active,Active,v1.0,,,,,,
